title;company;type;location;description;status;posted_by 
Data Analyst;Diverse Lynx;onsite;Santa Clara, CA;"JdJob DescriptionJob Function: Data Analyst Engage with stakeholders and partners to execute the vision for meeting the organization's needs for risk intelligence, situational awareness, and rapid response Work closely with our business partners, product owners to ensure data analysis meets or exceeds requirements Advise business partners on any potential risks based on data analysis. Manage reports and dashboards to help ""tell the story"" Process automation using new technologies, such as Appian and tools for business process automation Data Exploration & Research Management of reporting and dashboards Create and continuously evolve a consolidated, analytical data model for multi-use and rapid response. This analytical data model should be the underpinning of all the reporting, dashboards, Model Risk Management visualizations and statistics, etc. It is expected that this analytical data model will be in continuous re-evaluation and evolution from ""post-mortem"" reviews 5+ years delivering and implementing technology-based business intelligence solutions using a BI reporting tool (PowerBI, Tableau) 5+ years and in depth working knowledge of SQL. 3+ years working on analytical data structures Experience in Ficial Crimes Risk Management and Compliance areas - knowledge of SWIFT payment network Deep knowledge of Statistics and Data Mining/ Machine Learning concepts and practice Expert knowledge of customer analytics, data warehousing, and business intelligence tools Multi-task and manage unstructured tasks within specific guidelines and time constraints Excellent business partnering and communication skills Excellent analytical, problem solving and prioritization skillsDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.";active;rec1
Data Analyst;Diverse Lynx;onsite;Tempe, AZ;Job Description Role: Data Analyst Location: Tempe, AZ / Remote Contract JD:- Interpret and navigate a data model based on an understanding of the business processes and systems that generated the data Can develop an analytical approach based on a business problem statement Is comfortable writing intermediate SQL and using data management tools Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;Diverse Lynx;onsite;Columbus, OH;Job DescriptionTitle : Data AnalystLocation : Columbus OHType : Full-time Be part of an Agile software development for a full stack data analytics system Derive statistics-based decision-making algorithms using Python/R, or Matlab Design, develop, and test data analysis and visualization applications in Python Proficiency in Data Analysis using modern data analytics tool preferably in distributed computing and cloud environment Proficiency in Source to Target Data Mappings Proficient in developing and automating data transfer via interfaces Tune data engineering processes for optimal performance and maintainability Understand the analytic needs, preferably of Property and Commercial Insurance business and translate these into meaningful and actionable data visualizations Nice to have :Python, Spark SQLDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;Diverse Lynx;onsite;Tempe, AZ;Job Description Position : Appian Developer  Location : Tempe AZ / Santa Clara CA  Type : 06 Months Plus  Data Analyst with hands on Celonis Products Software Skills Celonis is MUST Data Quality Tool Informatica is strongly preferred ANSI SQL Cloud technologies (preferably AWS) is a plus Databases SQL Server, Oracle, Redshift BI Tool (preferred) Business Object, TableauResponsibilities Analyze and capture the current state of types of data issues, issues logging, exceptions handling, remediation, escalations, aging, closure, and monitoring of the data issues Develop issues management use cases, processes, procedures, and guidelines Develop design specifications for various data issues management components such as issues logging, exceptions handling, remediation, escalations, aging, closure, and monitoring of the data issues Develop design specifications for any interface with existing applications such as data quality tool, data goverce tool, service now, and others as required within the solutions Collaborate with the data stakeholders and ensure the solution meets the needs of the business Collaborate with the data stewards team and ensure the solution meets their needs Develop business rules to be applied as needed in the solutions Develop data issues management scorecards Develop playbook and training for the stakeholders and users Continues to improve data issues management process through innovative ways and lead improvement activities Participate and execute Agile stories assigned on time Assist Data Quality Product team with any data analysis and problem-solving needs Perform UAT and lead defect resolutions Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;Diverse Lynx;onsite;San Antonio, TX;Job DescriptionExperience performing complex data analysis using various data analytics tools (i.e.Microsoft Excel, Tableau, R, Python)Integrates/transforms disparate data sources and determines the appropriate data hygiene techniques to apply.Utilizes advanced analytics to assess future risk, opportunities, and effectiveness and translates results into meaningful solutions to enhance decision making.Engages in model validation and produces model validation reports.Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;Diverse Lynx;onsite;Austin, TX;Job DescriptionJOB TITLE: Data Analyst with Excellent SQL SkillsLocation: Sunnyvale-CA/Austin-TXPosition OverviewLocation  Sunnyvale, CA or Austin, TX (But needs to work in PST Hours) Very Strong SQL skills is must. Should be proficient in writing Complex SQL Queries. Good Communication, presentation and analyzing skills is must. Big data knowledge is added advantage.Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;Diverse Lynx;onsite;San Antonio, TX;Job DescriptionHi,Hope you are doing well.. Title: Data Analyst  Location : San Antonio Duration : Long TermJob DescriptionExperience performing complex data analysis using various data analytics tools (i.e.Microsoft Excel, Tableau, R, Python)Integrates/transforms disparate data sources and determines the appropriate data hygiene techniques to apply.Utilizes advanced analytics to assess future risk, opportunities, and effectiveness and translates results into meaningful solutions to enhance decision making.Engages in model validation and produces model validation reports. Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Visualization Analyst;PRESENCE;remote;South Barrington, IL;Data Visualization AnalystSouth Barrington, IL Office Preferred PRESENCE is a national, independently owned, natural products broker and service provider that was born from a desire to work in a progressive, vibrant and environmentally conscious industry while building communicative partnerships with other like-minded companies. We are passionate about taking better care of the planet and ourselves, we have high energy, strong standards, strategic vision and are committed to making natural and organic products the standard again. We love to learn, are on-trend and care about our teams and their well-being. A little about this role: The Data Visualization Analyst is primarily responsible for the production and delivery of retail measurement reporting to both internal and external customers via PowerBI. The Data Visualization Analyst is also responsible for the development of excel based reporting templates and infrastructure.A day in the life:Report design & development  building out reports/reporting environments to meet the evolving needs of internal and external customers primarily within Microsoft PowerBI.Production & delivery of ad hoc data requests  supporting the one-off reporting needs of both internal and external customers.Production/delivery of scheduled reporting  assist in the planning, production & delivery scheduled reporting for both internal and external customers.Educate users  answer questions on which reports to use to answer common business questions, help users navigate available reporting, outline rules/releasabilty of provided reporting as well as helping users understand structures of available data suppliers.Maintain  Ensure reporting environments, schedules, distribution lists and templates remain current.This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Projects and responsibilities may change at any time with or without notice due to our business, industry, and/or market changes. Travel may be required for industry tradeshows, team meetings and/or company meetings and events. What we are looking for:Regular and predictable attendance is requiredStrong understanding of retail measurement data capabilities and measuresAdvanced knowledge of Microsoft ExcelAdvanced knowledge of Microsoft Power BIWorking knowledge of Azure SQL (Structured Query Language)Working Knowledge of DAX (Data Analysis Expressions)Working knowledge of Microsoft Office suiteAttention to detail and strong organizational skillsAbility to work independently while being a strong team playerAbility to present findings to all levels within an organizationDependable, diplomatic person, able to problem-solve successfully with a wide variety of people and issuesFlexibility to successfully multi-task in a fast-paced environment with a positive attitude Self-motivated Ability to manage time and deadlinesKnowledge and interest of the natural products/brands and retail landscape is a plus;active;rec1
Data Analyst - Remote;Symetra;remote;Bellevue, WA;Symetra has an exciting opportunity to join our team as an Data Analyst!About The RoleThe Data Analyst uses data to solve business problems. You'll use complex information to report on trends and reach conclusions. You will also use business intelligence and analytics tools to find patterns, insights, and develop key performance indicators. While taking on analytics projects, the Data Analyst will demonstrate innovative ways to use existing and new data sources to produce enhanced metrics which drive strategic business decisions.ResponsibilitiesBuilds a working understanding of Symetra products, its customers, datainfrastructure, and business goals.Analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data analysis techniquesUnderstands basic business performance and answers product and business questions to drive business actions.Identifies and evaluates the quality of different data sources used for key result/metric calculations.Operationalizes compelling self-service dashboards and tools.Reflects on the requirements or directions provided on a project idea to anticipate gaps and provides recommendations for improved delivery.Occasionally plans and facilitates stakeholder requirements sessions and leverage business perspective.What We Offer YouúIf you want to invest in yourself and build a career, this is a great place to work. If you don't want to put in the effort to learn the industry and become a student of the business (it takes real effort!), there are easier places to work.ù Cris H. - AVP Internal Sales, Training and DevelopmentúSymetra is inclusive of all employees regardless of their personal differences.ù Darrell J. - Actuary IIIúSymetra values learning. Symetra has so many resources - whether that is the Student of the Business courses, sponsorship of professional certifications, or just individual employees being so willing to teach and answer questions.ù Felicia D. - Ficial Reporting Lead Senior AnalystBenefits And PerksWe don't take a úone-size-fits-allù approach when it comes to our employees. Our programs are designed to make your life better both at work and at home.Flexible full-time or hybrid telecommuting arrangementsPlan for your future with our 401(k) plan and take advantage of immediate vesting and company matching up to 6%Paid time away including vacation and sick time, flex days and ten paid holidaysGive back to your community and double your impact through our company matching Want more details? Check out our Symetra Benefits OverviewCompensationSalary Range: $71,700 - $119,500 plus eligibility for annual bonus programYour Education, Experience And SkillsDegree in Computer Science, Engineering, Mathematics, or a related field and/or 2+ years of equivalent professional experience required.Experience with reporting tools like SQL, Power BI, Tableau. Ability to understand and interpret imperfect data. Experience with data modeling and working with large-scale data. Partner with Data Analytics team members and business stakeholders to develop solutions.ETL development and understanding of data warehousing concepts.We empower inclusionAt Symetra, we're building a place where every employee feels valued, respected, and has opportunities to contribute. Inclusion is about recognizing our assumptions, considering multiple perspectives, and removing barriers.We accept and celebrate diverse experiences, identities, and perspectives, because lifting each other up fuels thought and builds a stronger, more innovative company. We invite you to learn more about our efforts here.In a complex industry, we strive for clarity. Symetra is a dynamic and growing ficial services company with 60 years of experience and customers nationwide. In our daily work delivering retirement, employee benefits, and life insurance products, we're guided by the principles of VALUE, TRANSPARENCY AND SUSTAINABILITY. That means we provide products and services people need at a competitive price, we communicate clearly and honestly so people understand what they're getting, and we build products that stand the test of time. We work hard and do what's right for our customers, communities, and employees. Join our team and share in our success as we work toward becoming the next national player in our industry.For more information about our careers visit www.symetra.com/careers.Work AuthorizationEmployer work visa sponsorship and support are not provided for this role. Applicants must be currently authorized to work in the United States at hire and must maintain authorization to work in the United States throughout their employment with our company.;active;rec1
Data Analyst - Remote;Diverse Lynx;remote;United States;Job DescriptionBelow JD:Position: Jr. Data AnalystLocation: 100% RemoteDuration: Long Term Contract Primary Skillswork with business leaders/team to understand requirements, analyze the datacome up with data flow diagrams after understanding the business workflows, and process flowsdocument findings in confluence and come up with technical specificationsWrite stories for those analyzed stories for developers to implement in following sprintschedule biweekly meetings with business to update them the sprint status andwrite release notes to update business stakeholders on the accomplishments and upcoming workTechnical Skills  Require good skills in SQL, with experience in AWS, and is able to read Python codeDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.;active;rec1
Data Analyst;SmartSense by Digi;hybrid;Mishawaka, IN;Join a high-performing, tight-knit team at a fast-growing company that is using the Internet of Things (IoT) to transform how organizations sense, monitor, and make decisions. Founded out of MIT in 2005, SmartSense is trusted by more than 2,000 organizations, including Walmart, SpaceX, Apple, CVS Health, Coca-Cola, and the US State Department to help them make sensor-driven decisions. We have a solution that our customers rely on every day to make mission critical decisions. We are looking for team-oriented change agents to help shape the future of IoT.Members of the Data team are passionate about data products, engineering data flows, storage, and enabling predictive analytics. We are inspired by data products and data services and in building and delivering tools, infrastructure, frameworks that enable insights of our business increasing the value of our data to our customers. As good stewards of our data we contribute to all aspects related to the handling of data, whether from monitoring data flows, our field sensors, PII, or reflecting internal processes such as our supply chain.In this Data Analyst role, you will be involved in cleaning, analyzing, interpreting, and displaying data using different approaches and business intelligence tools to assist the enterprise in delivering reports and dashboards that allow effective monitoring of the environments being sensed and of the sensors and networks we have deployed in an IoT context. The challenges are as diverse as the potential solutions, and you will have freedom to explore approaches to meeting the challenges coupled with responsibility for delivering effective products. You will become a go-to team member for people inside and outside the Data Services team looking to access and interpret the various data feeds our sensors and systems produce.We are interested in someone with the technical skills to access and manipulate data combined with a curiosity to understand the data and how to interpret it, capped with the ability to communicate and enhance contextual data models for communication and education of data products across the enterprise. As a member of a rapidly growing team, you will have the opportunity to perform across a range of analytic roles and be constantly challenged to extend your skills and the solutions the Data Services team is able to provide.LOCATION: Mishawaka, IN (Hybrid). Or Remote, prefer in Eastern time zone. Core technologies:Python and/or R, SQL, Postgres, Git, AWSEducation: BA degree in a technical/quantitative field (Statistics or Mathematics preferred).Core qualifications:Experience analyzing time series data, strong coding skills, familiarity with data access, ability to work independently and as part of a larger team, and a proven ability to solve problems and learn quickly. Candidates should have strong technical depth in at least one Data Science area (Big Data infrastructure, Software Implementation of ETL/Algorithms, Machine Learning, Data Visualization) and bring an eagerness to learn other areas. Background in statistics and mathematics.Within 1 month, you'llLearn about the various sensors and environments critical to our customers' successLearn the scripts and tools that currently transform raw data into internal and customer reportsBuild relationships with the awesome team members across other functional groupsWithin 3 months, you'llFacilitate the enhancement of visualizations of analytics products after working closely with internal and external consumers to understand how they use our productsUncovering key insights that lead to better informed and successful decision-makingBecome a go-to contributor for internal and external requests for new and extended applications of reporting functionsBecome an internal expert on the interpretation of key data, whether collected from sensors or from instrumentation of our hardware and software infrastructureContribute to the definition of new metrics and the data narratives that support prescriptive analyticsWithin 6 months, you'llTransform raw data into meaningful statistics, information, and explanationsTake ownership over defining, implementing, and delivering metrics, aggregations, and statistics fulfilling our predictive analytic use casesModel and classify outputs to interpret the state of monitored systems and environments for our customersPerform integrated planning with other business functions to improve our infrastructure, operational performance, and analytics productsDemonstrated key collaborator supporting Data Science objectivesWithin 12 months, you'llEvaluate new technologies and build proof-of-concept systems to enhance the analytic team's abilities and productsExtend your skill set across the range of Data Analytic areas by contributing across a wide range of projectsTrain, mentor, and influence your peers across departmentsContribute to developing our brand as a world-class data services team able to consistently deliver data products that exceed expectationsSmartSense by Digi is proud to be an equal-opportunity workplace dedicated to pursuing and hiring a diverse workforce. Women and minorities are encouraged to apply.Digi International offers a distinctive Total Rewards package including new hire stock award, paid parental leave, open (uncapped) PTO, and hybrid work environment in addition to our competitive medical, health & wellbeing and compensation offerings.;active;rec1
Data Analyst;Inceed;hybrid;Oklahoma City, OK;Compensation: $55,000 to 80,000Location: Oklahoma City, Oklahoma[TITLE]: Data AnalystInceed has partnered with a great company to help find a skilled Data Analyst to join their team!Required Qualifications & Experience:3+ years professional experienceAdvanced SQL experienceFamiliarity with Data Visualization Tools (Tableau, PowerBI, etc.)Excellent critical thinking and problem solving skillsIf you are interested in learning more about the Data Analyst opportunity, please submit your resume for consideration. Our client is unable to provide sponsorship at this time.We are Inceed, a staffing and direct placement firm who believes in the possibility of something better. Our mission is simple: We're here to help every person, whether client, candidate, or employee, find and secure what's better for them. Inceed is an equal opportunity employer. Inceed prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregcy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.#dataanalystjobs#dataanalystopportunities#powerbiopportunities#ITjobs#ITopportunities;active;rec1
Data Analyst;Coriell Institute for Medical Research;hybrid;Camden, NJ;The Coriell Institute for Medical Research is currently seeking an energetic and organized Data Analyst to join our IT team and successfully support a wide variety of projects in support of our biobanking operations. The successful applicant will merge, process, clean, validate and make available data and data reports collected for biobanking efforts at Coriell, including demographic data, clinical data, sample processing data, sample inventory data, and sample distribution data for thousands of participants. The successful applicant will have 3-5 years of experience with data management, data cleaning, and data processing in a scientific environment. In particular, three years of SQL Server and R programming experience and experience in maintaining source code in code repository tools are desired. Experience with Shiny is a plus. Applicants should also have excellent written and oral communication skills and the ability to interface with an interdisciplinary team of IT professionals, scientists, and support staff. If you are interested in applying for this opportunity, please email a cover letter and resume to careers@coriell.org. Please note, the cover letter must include a detailed description of your relevant experience as well as highlight your applicable background.  Founded in 1953, the Coriell Institute for Medical Research is a nonprofit research institute dedicated to improving human health through biomedical research. Coriell scientists lead research in personalized medicine, cancer biology, epigenetics, and the genomics of opioid use disorder. Coriell also hosts one of the world's leading biobanksîcomprised of collections for the National Institutes of Health, disease foundations and private clientsîand distributes biological samples and offers research and biobanking services to scientists around the globe. To facilitate drug discovery and disease study, the Institute also develops and distributes collections of induced pluripotent stem cells. To learn more, visit www.coriell.org. EOE;active;rec1
Data Analyst;PayPal;onsite;Texas, United States;At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize ficial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their ficial lives.Job Description Summary:What you need to know about the role - We're looking for a Risk Analyst to join the team and help in our efforts to manage our global seller risk strategy. You will work on the complex task of keeping fraudsters and bad actors away from PayPal's platform. If you're looking to make an impact at the red-hot intersection of e-Commerce, online payment and ficial risk management, you're at the right place. Meet our team The PayPal Seller Risk team is responsible for keeping the PayPal platform safe and secure and delivering a satisfactory experience for both the sellers and buyers. This is an exciting, fast paced team where the contribution by team members can significantly impact PayPal's bottom line as well as our customers' experience.Job Description:Your way to impactRisk Data Analysts apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPal's platform. They analyze existing loss trends and define logics, solutions and operational processes that prevent them - while delivering best-in-class customer experience for PayPal users.Risk Data Analysts work closely with one another, and with Risk Operations in order to keep learning about current fraud. They also partner closely with PayPal Product teams to define features and integrate risk prevention tools to support business goals.Our team members are excited about solving analytical problems. They are bright, they are responsible, and they know how to follow through. If you're also like that, we'd love to hear from you.Your day to dayFight fraudulent activity in one's domain of ownership by analyzing existing loss trends through review of specific cases, research on our payments database and incorporation of feedback from operations teams.Based on data-driven analysis, formulating risk solutions to ensure optimal balance between user experience, business enablement, operational expense and loss exposure related to proposed solutionsWork closely with product teams on development of new products to identify potential gaps that might create loss, and define requirements to mitigate those risks. Have a good understanding of general business trends and directions to be able to put own work in the broad business context.Work with various partners within PayPal to coordinate the execution of fraud mitigation solutions.Demonstrate flexibility that is needed to succeed within a matrix organization while being proactive and comfortable with working alongside stakeholders from different domains.Develop controls and monitoring dashboards to ensure performance against business goal, regulatory requirements and business priorities.What Do You Need To Bring-Proficiency in SQL and ExcelProficiency in at least one statistical analysis tool: SAS / R / Python/ HadoopStrong analytical skills: ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases, navigate multidimensional sets of tradeoffs. Above all, the job calls for comfort with data  ability to manipulate it, question its validity, interpret it, and develop recommendations based on itStrong written, oral, and interpersonal skills, including the ability to explain and/or present analysisDedicated, proactive, curious and eager to learn new approaches / methodologies  a mustOur Benefits:At PayPal, we're committed to building an equitable and inclusive global economy. And we can't do this without our most important assetîyou. That's why we offer benefits to help you thrive in every stage of life. We champion your ficial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make ficial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregcy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal's commitment to employees' health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0096181;active;rec1
Data Analyst;PayPal;onsite;Illinois, United States;At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize ficial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their ficial lives.Job Description Summary:What you need to know about the role - We're looking for a Risk Analyst to join the team and help in our efforts to manage our global seller risk strategy. You will work on the complex task of keeping fraudsters and bad actors away from PayPal's platform. If you're looking to make an impact at the red-hot intersection of e-Commerce, online payment and ficial risk management, you're at the right place. Meet our team The PayPal Seller Risk team is responsible for keeping the PayPal platform safe and secure and delivering a satisfactory experience for both the sellers and buyers. This is an exciting, fast paced team where the contribution by team members can significantly impact PayPal's bottom line as well as our customers' experience.Job Description:Your way to impactRisk Data Analysts apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPal's platform. They analyze existing loss trends and define logics, solutions and operational processes that prevent them - while delivering best-in-class customer experience for PayPal users.Risk Data Analysts work closely with one another, and with Risk Operations in order to keep learning about current fraud. They also partner closely with PayPal Product teams to define features and integrate risk prevention tools to support business goals.Our team members are excited about solving analytical problems. They are bright, they are responsible, and they know how to follow through. If you're also like that, we'd love to hear from you.Your day to dayFight fraudulent activity in one's domain of ownership by analyzing existing loss trends through review of specific cases, research on our payments database and incorporation of feedback from operations teams.Based on data-driven analysis, formulating risk solutions to ensure optimal balance between user experience, business enablement, operational expense and loss exposure related to proposed solutionsWork closely with product teams on development of new products to identify potential gaps that might create loss, and define requirements to mitigate those risks. Have a good understanding of general business trends and directions to be able to put own work in the broad business context.Work with various partners within PayPal to coordinate the execution of fraud mitigation solutions.Demonstrate flexibility that is needed to succeed within a matrix organization while being proactive and comfortable with working alongside stakeholders from different domains.Develop controls and monitoring dashboards to ensure performance against business goal, regulatory requirements and business priorities.What Do You Need To Bring-Proficiency in SQL and ExcelProficiency in at least one statistical analysis tool: SAS / R / Python/ HadoopStrong analytical skills: ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases, navigate multidimensional sets of tradeoffs. Above all, the job calls for comfort with data  ability to manipulate it, question its validity, interpret it, and develop recommendations based on itStrong written, oral, and interpersonal skills, including the ability to explain and/or present analysisDedicated, proactive, curious and eager to learn new approaches / methodologies  a mustOur Benefits:At PayPal, we're committed to building an equitable and inclusive global economy. And we can't do this without our most important assetîyou. That's why we offer benefits to help you thrive in every stage of life. We champion your ficial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make ficial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregcy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal's commitment to employees' health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0096181;active;rec1
Data Analyst;PayPal;onsite;Greater Scranton Area;At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize ficial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their ficial lives.Job Description Summary:What you need to know about the role - We're looking for a Risk Analyst to join the team and help in our efforts to manage our global seller risk strategy. You will work on the complex task of keeping fraudsters and bad actors away from PayPal's platform. If you're looking to make an impact at the red-hot intersection of e-Commerce, online payment and ficial risk management, you're at the right place. Meet our team The PayPal Seller Risk team is responsible for keeping the PayPal platform safe and secure and delivering a satisfactory experience for both the sellers and buyers. This is an exciting, fast paced team where the contribution by team members can significantly impact PayPal's bottom line as well as our customers' experience.Job Description:Your way to impactRisk Data Analysts apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPal's platform. They analyze existing loss trends and define logics, solutions and operational processes that prevent them - while delivering best-in-class customer experience for PayPal users.Risk Data Analysts work closely with one another, and with Risk Operations in order to keep learning about current fraud. They also partner closely with PayPal Product teams to define features and integrate risk prevention tools to support business goals.Our team members are excited about solving analytical problems. They are bright, they are responsible, and they know how to follow through. If you're also like that, we'd love to hear from you.Your day to dayFight fraudulent activity in one's domain of ownership by analyzing existing loss trends through review of specific cases, research on our payments database and incorporation of feedback from operations teams.Based on data-driven analysis, formulating risk solutions to ensure optimal balance between user experience, business enablement, operational expense and loss exposure related to proposed solutionsWork closely with product teams on development of new products to identify potential gaps that might create loss, and define requirements to mitigate those risks. Have a good understanding of general business trends and directions to be able to put own work in the broad business context.Work with various partners within PayPal to coordinate the execution of fraud mitigation solutions.Demonstrate flexibility that is needed to succeed within a matrix organization while being proactive and comfortable with working alongside stakeholders from different domains.Develop controls and monitoring dashboards to ensure performance against business goal, regulatory requirements and business priorities.What Do You Need To Bring-Proficiency in SQL and ExcelProficiency in at least one statistical analysis tool: SAS / R / Python/ HadoopStrong analytical skills: ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases, navigate multidimensional sets of tradeoffs. Above all, the job calls for comfort with data  ability to manipulate it, question its validity, interpret it, and develop recommendations based on itStrong written, oral, and interpersonal skills, including the ability to explain and/or present analysisDedicated, proactive, curious and eager to learn new approaches / methodologies  a mustOur Benefits:At PayPal, we're committed to building an equitable and inclusive global economy. And we can't do this without our most important assetîyou. That's why we offer benefits to help you thrive in every stage of life. We champion your ficial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make ficial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregcy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal's commitment to employees' health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0096181;active;rec1
